"col0","col1","col2"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","SimplCommerce.Infrastructure.Data.IRepositoryWithTypedId<SimplCommerce.Infrastructure.Localization.LocalizedContentProperty,System.Int64>.Query"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","System.Linq.Enumerable.ToList<LocalizedContentProperty>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","System.TimeSpan.FromSeconds"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.MemoryCacheEntryExtensions.SetAbsoluteExpiration"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.CacheExtensions.TryGetValue<List<LocalizedContentProperty>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.CacheExtensions.Set<List<LocalizedContentProperty>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryMenuViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","System.Linq.Enumerable.FirstOrDefault<LocalizedContentProperty>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","System.Linq.Queryable.FirstOrDefault<Category>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Data.IRepositoryWithTypedId<SimplCommerce.Module.Catalog.Models.Category,System.Int64>.Query"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","Newtonsoft.Json.JsonConvert.DeserializeObject<CategoryWidgetSettings>"
